name,Hungarian,Hungarian: Indian,Mieses,Mieses: Reversed Rat,Van Geet,Van't Kruijs,Nimzo-Larsen Attack,Nimzo-Larsen Attack: Indian,Zukertort,Zukertort: Sicilian Invitation,KIA,KIA: French,Réti,English,English: Caro-Kann Defensive System,English: Agincourt,English: Neo-Catalan,English: Neo-Catalan Declined,"English: Agincourt, Neo-Catalan Declined",English: Anglo-Indian,"English: Anglo-Indian, King's Knight","English: Anglo-Indian, Queen's Knight","English: Anglo-Indian, Hedgehog System",English: Symmetrical,"English: Symmetrical, Anti-Benoni","English: Symmetrical, Anti-Benoni, Spielmann",Englund Gambit,Englund Gambit Complex: Soller Gambit Deferred,Horwitz,Modern,Queen's Pawn,Modern: Averbakh System,"Benoni: Benoni-Indian, Kingside Move Order",Indian: Pseudo-Benko,Indian,Queen's Pawn: Chigorin,Trompowsky Attack,Trompowsky Attack: Classical,Indian: Knights,Indian: Spielmann-Indian,Indian: Wade-Tartakower,Yusupov-Rubinstein System,Queen's Indian,Indian: Normal,Slav Indian,Old Indian: Tartakower-Indian,Benoni,Benko Gambit,Benko Gambit Accepted,Benko Gambit Accepted: Modern,Dutch,King's Pawn,Nimzowitsch,Nimzowitsch: Scandinavian,"Nimzowitsch: Scandinavian, Advance",Pirc,Scandinavian,Scandinavian: Classical,Scandinavian: Main Line,"Scandinavian: Main Line, Mieses",Scandinavian: Mieses-Kotroc,Alekhine,Alekhine: Normal,Alekhine: Two Pawn Attack,Alekhine: Exchange,"Modern: Lizard, Mittenberger Gambit",Modern: Standard Line,Pirc: Byrne,Caro-Kann,Caro-Kann: Advance,"Caro-Kann: Advance, Van der Wiel Attack",Caro-Kann: Modern,Caro-Kann: Exchange,"Caro-Kann: Exchange, Rubinstein",Caro-Kann: Main Line,Caro-Kann: Tartakower,Caro-Kann: Classical,"Caro-Kann: Classical, Spassky",Sicilian,Sicilian: Smith-Morra Gambit,"Sicilian: Smith-Morra Gambit Declined, Alapin Formation","Sicilian: Alapin, Smith-Morra Declined",Sicilian: Closed,Sicilian: Nyezhmetdinov-Rossolimo Attack,Sicilian: Old Sicilian,Sicilian: French,"Sicilian: French, Open",Sicilian: Kan,"Sicilian: Kan, Maróczy Bind, Réti","Sicilian: Kan, Knight",Sicilian: Moderns,Sicilian: Moscow,"Sicilian: Moderns, Main Line",Sicilian: Venice Attack,Sicilian: Dragon,"Sicilian: Dragon, Yugoslav Attack, Early Deviations","Sicilian: Dragon, Yugoslav Attack","Sicilian: Dragon, Yugoslav Attack, Panov","Sicilian: Scheveningen, Classical",Sicilian: Najdorf,"Sicilian: Najdorf, Opocensky",French,French: Normal,French: Advance,"French: Advance, Milner-Barry Gambit",French: Tarrasch,"French: Tarrasch, Chistyakov","French: Tarrasch, Open System","French: Tarrasch, Open System, Main Line",Bishop's,Elephant Gambit,Elephant Gambit: Paulsen Countergambit,King's Knight,Philidor,Philidor: Hanham,Philidor: Lion,King's Knight: Normal,Ponziani,Ponziani: Steinitz,Scotch,Scotch: Mieses,Scotch: Schmidt,Giuoco Piano,Italian,RL,RL: Exchange,"RL: Exchange, Alapin Gambit","RL: Exchange, Normal",RL: Morphy,Closed,Queen's Pawn: Levitsky Attack,Queen's Pawn: Mason,"Queen's Pawn: Veresov Attack, Richter",Rapport-Jobava System,Richter-Veresov Attack,Queen's Pawn: Symmetrical,"Queen's Pawn: Symmetrical, Pseudo-Catalan",Queen's Pawn: Zukertort,Queen's Pawn: Colle System,"Queen's Pawn: Colle System, Traditional Colle",QG,QG Declined: Marshall,Slav,Slav: Modern Line,Slav: Three Knights,QG Accepted,QG Accepted: Showalter,QG Declined,QG Declined: Janowski,QG Declined: Queen's Knight,QG Declined: Exchange,"QG Declined: Exchange, Positional",QG Declined: Harrwitz Attack,QG Declined: Normal,"QG Declined: Harrwitz Attack, Fianchetto",QG Declined: Three Knights,QG Declined: Ragozin,QG Declined: Semi-Tarrasch,"QG Declined: Semi-Tarrasch, Exchange",Semi-Slav,QG Declined: Modern,QG Declined: Neo-Orthodox,"Neo-Grünfeld: Classical, Original",Grünfeld,Grünfeld: Stockholm,Catalan,Catalan: Closed,"Catalan: Closed, Main Line",Indian: Anti-Nimzo-Indian,Tarrasch: Symmetrical,Queen's Indian: Kasparov,Nimzo-Indian,"Nimzo-Indian: Sämisch, Accelerated",Nimzo-Indian: Sämisch,"Nimzo-Indian: Normal, Ragozin",Grünfeld: Counterthrust,"Indian: King's Indian, Fianchetto",Indian: West Indian,"King's Indian: Fianchetto, Immediate Fianchetto",King's Indian,King's Indian: Normal,"King's Indian: Four Pawns Attack, Dynamic Attack",King's Indian: Sämisch,"King's Indian: Sämisch, Normal","King's Indian: Sämisch, Sämisch Gambit","King's Indian: Normal, Rares",King's Indian: Orthodox,"King's Indian: Orthodox, Aronin-Taimanov","King's Indian: Orthodox, Classical System",Start
KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA: French,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Réti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English: Caro-Kann Defensive System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English: Agincourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English: Neo-Catalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English: Neo-Catalan Declined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"English: Agincourt, Neo-Catalan Declined",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English: Anglo-Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"English: Anglo-Indian, King's Knight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"English: Anglo-Indian, Queen's Knight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"English: Anglo-Indian, Hedgehog System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
